,g-city,g-rent,g-surf,g-rooms,t-city,t-max-rent,t-surf-min,t-rooms
96,Berlin,410.0,55.0,2.0,Berlin,1000.0,,
97,Berlin,1450.0,174.0,,Berlin,1400.0,,3.0
98,Berlin,1300.0,57.0,3.0,Berlin,900.0,,2.0
99,Berlin,295.0,35.0,1.0,Berlin,1400.0,,3.0
100,Berlin,850.0,95.0,,Berlin,1400.0,,
101,Berlin,600.0,69.0,3.0,Berlin,1400.0,,4.0
102,Berlin,1175.0,85.0,2.0,Berlin,1500.0,,3.0
103,Berlin,630.0,82.0,3.0,Berlin,600.0,,3.0
104,Berlin,1100.0,93.0,,Berlin,1800.0,,
105,Berlin,850.0,72.0,3.0,Berlin,1500.0,,4.0
106,Berlin,452.0,65.0,2.0,Berlin,1800.0,,
107,Berlin,1420.0,86.0,2.0,Berlin,1400.0,,
108,Berlin,755.0,93.0,3.0,Berlin,,,2.0
109,Berlin,1500.0,110.0,3.0,Berlin,2000.0,,3.0
110,Berlin,425.0,54.0,2.0,Berlin,1000.0,,3.0
111,Berlin,1600.0,100.0,4.0,Berlin,1000.0,,2.0
112,Berlin,620.0,69.0,,Berlin,1000.0,,4.0
113,Berlin,999.0,84.0,3.0,Berlin,1500.0,,4.0
114,Berlin,600.0,49.0,2.0,Berlin,900.0,,
115,Berlin,392.0,64.0,2.0,Berlin,1500.0,,
116,Berlin,690.0,60.0,2.0,Berlin,1200.0,,
117,Berlin,500.0,67.0,,Berlin,1000.0,,3.0
118,Berlin,1250.0,110.0,4.0,Berlin,2000.0,,4.0
119,Berlin,900.0,84.0,3.0,Berlin,1600.0,,4.0
120,Berlin,450.0,45.0,1.0,Berlin,1200.0,,2.0
121,Berlin,808.0,95.0,3.0,Berlin,2000.0,,4.0
122,Berlin,641.0,70.0,2.0,Berlin,550.0,,
123,Berlin,1600.0,170.0,4.0,Berlin,600.0,,
124,Berlin,1480.0,77.0,2.0,München,900.0,,1.0
125,Berlin,467.0,64.0,2.0,Berlin,2500.0,,
126,Berlin,700.0,68.0,2.0,Berlin,1400.0,,2.0
127,Berlin,972.0,67.0,2.0,Berlin,1550.0,,3.0
128,Berlin,1000.0,93.0,3.0,Berlin,450.0,,1.0
129,Berlin,1325.0,103.0,,Berlin,650.0,,2.0
130,Berlin,750.0,60.0,3.0,Berlin,5000.0,,3.0
131,Berlin,340.0,40.0,1.0,Berlin,1000.0,,1.0
132,Berlin,836.0,78.0,,Berlin,2000.0,,3.0
133,Berlin,470.0,54.0,2.0,Berlin,350.0,,1.0
134,Berlin,1273.0,134.0,,Berlin,700.0,,
135,Berlin,1800.0,137.0,5.0,Berlin,800.0,,3.0
136,Berlin,450.0,70.0,3.0,Berlin,1500.0,,3.0
137,Berlin,760.0,61.0,2.0,Berlin,1900.0,,3.0
138,Berlin,840.0,90.0,,Berlin,1700.0,,
139,Berlin,550.0,63.0,3.0,Berlin,800.0,,3.0
140,Berlin,945.0,150.0,4.0,Berlin,1600.0,,
141,Berlin,1270.0,89.0,3.0,Berlin,1300.0,,4.0
142,Berlin,690.0,73.0,3.0,Berlin,1100.0,,3.0
143,Berlin,354.0,32.0,1.0,Berlin,900.0,,1.0
144,Berlin,750.0,86.0,,Berlin,900.0,,3.0
145,Berlin,1050.0,83.0,,Berlin,1800.0,,3.0
146,Berlin,600.0,84.0,2.0,Berlin,2800.0,,4.0
147,Berlin,1050.0,63.0,2.0,Berlin,800.0,,1.0
148,Berlin,609.0,65.0,3.0,Berlin,1300.0,,
149,Berlin,1000.0,98.0,4.0,Berlin,750.0,,2.0
150,Berlin,900.0,90.0,4.0,Berlin,800.0,,
151,Berlin,650.0,59.0,2.0,Berlin,1800.0,,3.0
152,Berlin,690.0,96.0,3.0,Berlin,1500.0,,
153,Berlin,700.0,75.0,3.0,Berlin,1200.0,,4.0
154,Berlin,1250.0,82.0,3.0,Berlin,800.0,,2.0
155,Berlin,406.0,40.0,,Berlin,1500.0,,
156,Berlin,504.0,60.0,2.0,Berlin,1700.0,,2.0
157,Berlin,1300.0,117.0,3.0,München,3000.0,,3.0
158,Berlin,880.0,106.0,,Berlin,1000.0,,4.0
159,Berlin,480.0,60.0,2.0,Berlin,2000.0,,3.0
160,Berlin,750.0,75.0,2.0,Berlin,450.0,,1.0
161,Berlin,958.0,65.0,2.0,Berlin,700.0,,
162,Berlin,790.0,127.0,4.0,Berlin,1400.0,,3.0
163,Berlin,1179.0,75.0,,Berlin,1200.0,,
164,Berlin,1400.0,80.0,,Berlin,1500.0,,
165,Berlin,960.0,49.0,2.0,Berlin,2000.0,,1.0
166,Berlin,511.0,50.0,2.0,Berlin,1400.0,,1.0
167,Berlin,60.0,60.0,,Berlin,900.0,,
168,Berlin,725.0,70.0,2.0,Berlin,1100.0,,3.0
169,Berlin,390.0,58.0,2.0,München,1500.0,,3.0
170,Berlin,476.0,70.0,2.0,Berlin,900.0,,3.0
171,Berlin,1550.0,140.0,4.0,Berlin,2000.0,,3.0
172,Berlin,2100.0,110.0,4.0,Berlin,1700.0,,
173,Berlin,366.0,42.0,1.0,Berlin,1700.0,,3.0
174,Berlin,480.0,60.0,2.0,Berlin,1800.0,,3.0
175,Berlin,533.0,66.0,,Berlin,1600.0,,
176,Berlin,700.0,60.0,2.0,Berlin,1200.0,,3.0
177,Berlin,1124.0,75.0,3.0,Berlin,2100.0,,4.0
178,Berlin,540.0,56.0,2.0,Berlin,1300.0,,3.0
179,Berlin,950.0,80.0,3.0,Berlin,1600.0,,4.0
180,Berlin,1170.0,75.0,,Berlin,1500.0,,3.0
181,Berlin,439.0,55.0,2.0,Berlin,800.0,,
182,Berlin,1299.0,130.0,4.0,Berlin,850.0,,
183,Berlin,926.0,78.0,3.0,Freiburg im Breisgau,2000.0,,2.0
184,Berlin,415.0,55.0,2.0,Berlin,1500.0,,3.0
185,Berlin,600.0,47.0,2.0,Berlin,550.0,,
186,Berlin,666.0,53.0,,Berlin,1000.0,,
187,Berlin,500.0,70.0,,Berlin,1000.0,,2.0
188,Berlin,379.0,63.0,2.0,Berlin,1000.0,,
189,Berlin,900.0,105.0,3.0,Berlin,2000.0,,3.0
190,Berlin,570.0,45.0,1.0,Berlin,900.0,,
191,Berlin,602.0,52.0,2.0,Berlin,1200.0,,3.0
192,Berlin,1309.0,138.0,3.0,Berlin,1200.0,,3.0
193,Berlin,1600.0,116.0,4.0,Berlin,1200.0,,2.0
194,Berlin,496.0,52.0,2.0,Berlin,1400.0,,
195,Berlin,542.0,60.0,2.0,Berlin,1100.0,,3.0
196,Berlin,980.0,65.0,3.0,Berlin,1000.0,,1.0
197,Berlin,1890.0,118.0,4.0,Berlin,1500.0,,3.0
198,Berlin,1535.0,140.0,,Berlin,1000.0,,
199,Berlin,1062.0,90.0,3.0,Berlin,1000.0,,2.0
200,Berlin,705.0,34.0,1.0,Berlin,2000.0,,2.0
201,Berlin,800.0,73.0,3.0,Berlin,1250.0,,
202,Berlin,650.0,76.0,2.0,Berlin,1200.0,,3.0
203,Berlin,714.0,66.0,2.0,Berlin,1000.0,,2.0
204,Berlin,637.0,88.0,,Berlin,1000.0,,3.0
205,Berlin,560.0,69.0,3.0,Berlin,800.0,,
206,Berlin,1190.0,179.0,3.0,Berlin,1300.0,,3.0
207,Berlin,500.0,70.0,2.0,Berlin,800.0,,2.0
208,Berlin,1750.0,100.0,4.0,Berlin,1050.0,,
209,Berlin,730.0,59.0,2.0,Berlin,900.0,,
210,Berlin,650.0,65.0,3.0,Berlin,1250.0,,4.0
211,Berlin,800.0,100.0,3.0,Berlin,1300.0,,
212,Berlin,900.0,75.0,3.0,Berlin,800.0,,2.0
213,Berlin,650.0,52.0,2.0,Berlin,1550.0,,3.0
214,Berlin,630.0,76.0,2.0,Berlin,1100.0,,3.0
215,Berlin,1500.0,72.0,2.0,Berlin,1650.0,,3.0
216,Berlin,430.0,51.0,2.0,Berlin,1400.0,,3.0
217,Berlin,532.0,57.0,2.0,Berlin,900.0,,2.0
218,Berlin,400.0,40.0,,Berlin,1500.0,,2.0
219,Berlin,500.0,59.0,2.0,Berlin,1300.0,,3.0
220,Berlin,550.0,42.0,2.0,Berlin,800.0,,1.0
221,Berlin,350.0,60.0,,Berlin,800.0,,3.0
222,Berlin,700.0,100.0,,Berlin,1300.0,,3.0
223,Berlin,700.0,70.0,2.0,Berlin,1600.0,,3.0
224,Berlin,660.0,118.0,4.0,Berlin,1000.0,,3.0
225,Berlin,1200.0,125.0,4.0,Berlin,1300.0,,3.0
226,Berlin,775.0,50.0,2.0,Berlin,1500.0,,
227,Berlin,435.0,51.0,2.0,Berlin,600.0,,
228,Berlin,420.0,60.0,3.0,Hannover,1000.0,,2.0
229,Berlin,900.0,114.0,,Berlin,500.0,,
230,Berlin,1150.0,85.0,,Berlin,1400.0,,3.0
231,Berlin,450.0,76.0,,Berlin,1000.0,,3.0
232,Berlin,480.0,62.0,2.0,Berlin,1000.0,,3.0
233,Berlin,1221.0,87.0,3.0,Berlin,1000.0,,
234,Berlin,1290.0,140.0,4.0,Berlin,1300.0,,
235,Berlin,682.0,65.0,2.0,Berlin,2000.0,,3.0
236,Berlin,690.0,72.0,3.0,Berlin,900.0,,
237,Berlin,600.0,60.0,2.0,Berlin,1500.0,,3.0
238,Berlin,1137.0,88.0,,Berlin,1450.0,,
239,Berlin,377.0,50.0,2.0,Berlin,1200.0,,
240,Berlin,475.0,60.0,2.0,Berlin,1500.0,,3.0
241,Berlin,640.0,50.0,2.0,Berlin,600.0,,
