,g-city,g-rent,g-surf,g-rooms,t-city,t-max-rent,t-surf-min,t-rooms
83,Berlin,625 €,62 m²,"2,5",Potsdam,800 €,45 m²,2
84,Berlin,970 €,75 m²,2,München,600 €,45 m²,1
85,Berlin,730 €,62 m²,2,Berlin,1.000 €,65 m²,"2,5"
86,Berlin,300 €,28 m²,1,Berlin,900 €,65 m²,"2,5"
87,Berlin,800 €,100 m²,"3,5",Berlin,700 €,50 m²,1
88,Berlin,475 €,64 m²,"2,5",Berlin,1.000 €,50 m²,2
89,Berlin,640 €,55 m²,2,Berlin,1.100 €,55 m²,2
90,Berlin,600 €,52 m²,2,Berlin,1.800 €,95 m²,3
91,Berlin,809 €,80 m²,3,Berlin,600 €,40 m²,"1,5"
92,Berlin,600 €,74 m²,2,Berlin,900 €,80 m²,3
93,Berlin,1150 €,98 m²,3,Berlin,1.800 €,90 m²,"3,5"
94,Berlin,1158 €,125 m²,4,Berlin,1.000 €,70 m²,3
95,Berlin,1100 €,110 m²,4,Berlin,1.500 €,120 m²,5
96,Berlin,410 €,55 m²,2,Berlin,1.000 €,65 m²,"2,5"
97,Berlin,1450 €,174 m²,"4,5",Berlin,1.400 €,85 m²,3
98,Berlin,1300 €,57 m²,3,Berlin,900 €,35 m²,2
99,Berlin,295 €,35 m²,1,Berlin,1.400 €,60 m²,3
100,Berlin,850 €,95 m²,"3,5",Berlin,1.400 €,100 m²,"3,5"
101,Berlin,600 €,69 m²,3,Berlin,1.400 €,90 m²,4
102,Berlin,1175 €,85 m²,2,Berlin,1.500 €,70 m²,3
103,Berlin,630 €,82 m²,3,Berlin,600 €,75 m²,3
104,Berlin,1100 €,93 m²,"3,5",Berlin,1.800 €,85 m²,"3,5"
105,Berlin,850 €,72 m²,3,Berlin,1.500 €,90 m²,4
106,Berlin,452 €,65 m²,2,Berlin,1.800 €,100 m²,"3,5"
107,Berlin,1420 €,86 m²,2,Berlin,1.400 €,60 m²,"2,5"
108,Berlin,755 €,93 m²,3,Berlin,nicht angegeben,1 m²,2
109,Berlin,1500 €,110 m²,3,Berlin,2.000 €,50 m²,3
110,Berlin,425 €,54 m²,2,Berlin,1.000 €,60 m²,3
111,Berlin,1600 €,100 m²,4,Berlin,1.000 €,70 m²,2
112,Berlin,620 €,69 m²,"2,5",Berlin,1.000 €,100 m²,4
113,Berlin,999 €,84 m²,3,Berlin,1.500 €,100 m²,4
114,Berlin,600 €,49 m²,2,Berlin,900 €,60 m²,"2,5"
115,Berlin,392 €,64 m²,2,Berlin,1.500 €,80 m²,"3,5"
116,Berlin,690 €,60 m²,2,Berlin,1.200 €,70 m²,"2,5"
117,Berlin,500 €,67 m²,"2,5",Berlin,1.000 €,77 m²,3
118,Berlin,1250 €,110 m²,4,Berlin,2.000 €,120 m²,4
119,Berlin,900 €,84 m²,3,Berlin,1.600 €,110 m²,4
120,Berlin,450 €,45 m²,1,Berlin,1.200 €,65 m²,2
121,Berlin,808 €,95 m²,3,Berlin,2.000 €,130 m²,4
122,Berlin,641 €,70 m²,2,Berlin,550 €,40 m²,"1,5"
123,Berlin,1600 €,170 m²,4,Berlin,600 €,50 m²,"1,5"
124,Berlin,1480 €,77 m²,2,München,900 €,40 m²,1
125,Berlin,467 €,64 m²,2,Berlin,2.500 €,100 m²,"3,5"
126,Berlin,700 €,68 m²,2,Berlin,1.400 €,60 m²,2
127,Berlin,972 €,67 m²,2,Berlin,1.550 €,90 m²,3
128,Berlin,1000 €,93 m²,3,Berlin,450 €,35 m²,1
129,Berlin,1325 €,103 m²,"3,5",Berlin,650 €,50 m²,2
130,Berlin,750 €,60 m²,3,Berlin,5.000 €,75 m²,3
131,Berlin,340 €,40 m²,1,Berlin,1.000 €,55 m²,1
132,Berlin,836 €,78 m²,"2,5",Berlin,2.000 €,75 m²,3
133,Berlin,470 €,54 m²,2,Berlin,350 €,10 m²,1
134,Berlin,1273 €,134 m²,"4,5",Berlin,700 €,70 m²,"2,5"
135,Berlin,1800 €,137 m²,5,Berlin,800 €,60 m²,3
136,Berlin,450 €,70 m²,3,Berlin,1.500 €,80 m²,3
137,Berlin,760 €,61 m²,2,Berlin,1.900 €,75 m²,3
138,Berlin,840 €,90 m²,"3,5",Berlin,1.700 €,90 m²,"3,5"
139,Berlin,550 €,63 m²,3,Berlin,800 €,65 m²,3
140,Berlin,945 €,150 m²,4,Berlin,1.600 €,55 m²,"2,5"
141,Berlin,1270 €,89 m²,3,Berlin,1.300 €,90 m²,4
142,Berlin,690 €,73 m²,3,Berlin,1.100 €,90 m²,3
143,Berlin,354 €,32 m²,1,Berlin,900 €,30 m²,1
144,Berlin,750 €,86 m²,"2,5",Berlin,900 €,85 m²,3
145,Berlin,1050 €,83 m²,"3,5",Berlin,1.800 €,90 m²,3
146,Berlin,600 €,84 m²,2,Berlin,2.800 €,80 m²,4
147,Berlin,1050 €,63 m²,2,Berlin,800 €,30 m²,1
148,Berlin,609 €,65 m²,3,Berlin,1.300 €,85 m²,"3,5"
149,Berlin,1000 €,98 m²,4,Berlin,750 €,20 m²,2
150,Berlin,900 €,90 m²,4,Berlin,800 €,55 m²,"2,5"
151,Berlin,650 €,59 m²,2,Berlin,1.800 €,70 m²,3
152,Berlin,690 €,96 m²,3,Berlin,1.500 €,95 m²,"3,5"
153,Berlin,700 €,75 m²,3,Berlin,1.200 €,95 m²,4
154,Berlin,1250 €,82 m²,3,Berlin,800 €,60 m²,2
155,Berlin,406 €,40 m²,"1,5",Berlin,1.500 €,80 m²,"2,5"
156,Berlin,504 €,60 m²,2,Berlin,1.700 €,55 m²,2
157,Berlin,1300 €,117 m²,3,München,3.000 €,85 m²,3
158,Berlin,880 €,106 m²,"3,5",Berlin,1.000 €,90 m²,4
159,Berlin,480 €,60 m²,2,Berlin,2.000 €,78 m²,3
160,Berlin,750 €,75 m²,2,Berlin,450 €,37 m²,1
161,Berlin,958 €,65 m²,2,Berlin,700 €,40 m²,"1,5"
162,Berlin,790 €,127 m²,4,Berlin,1.400 €,90 m²,3
163,Berlin,1179 €,75 m²,"2,5",Berlin,1.200 €,70 m²,"2,5"
164,Berlin,1400 €,80 m²,"3,5",Berlin,1.500 €,90 m²,"3,5"
165,Berlin,960 €,49 m²,2,Berlin,2.000 €,40 m²,1
166,Berlin,511 €,50 m²,2,Berlin,1.400 €,35 m²,1
167,Berlin,60 €,60 m²,"2,5",Berlin,900 €,60 m²,"2,5"
168,Berlin,725 €,70 m²,2,Berlin,1.100 €,70 m²,3
169,Berlin,390 €,58 m²,2,München,1.500 €,85 m²,3
170,Berlin,476 €,70 m²,2,Berlin,900 €,70 m²,3
171,Berlin,1550 €,140 m²,4,Berlin,2.000 €,90 m²,3
172,Berlin,2100 €,110 m²,4,Berlin,1.700 €,65 m²,"2,5"
173,Berlin,366 €,42 m²,1,Berlin,1.700 €,80 m²,3
